time_iso8601,stars_cumulative
2020-06-24 00:00:00+00:00,5
2020-06-25 00:00:00+00:00,7
2020-06-28 00:00:00+00:00,9
2020-07-22 00:00:00+00:00,11
2020-08-19 00:00:00+00:00,12
2020-08-20 00:00:00+00:00,13
2020-09-02 00:00:00+00:00,14
2020-09-23 00:00:00+00:00,15
2020-10-18 00:00:00+00:00,16
2020-11-04 00:00:00+00:00,18
2020-11-11 00:00:00+00:00,19
2020-12-10 00:00:00+00:00,20
2020-12-15 00:00:00+00:00,21
2020-12-31 00:00:00+00:00,22
2021-01-02 00:00:00+00:00,23
2021-01-05 00:00:00+00:00,25
2021-01-19 00:00:00+00:00,26
2021-02-16 00:00:00+00:00,27
2021-03-11 00:00:00+00:00,28
2021-03-22 00:00:00+00:00,29
2021-04-09 00:00:00+00:00,30
2021-04-27 00:00:00+00:00,31
2021-04-29 00:00:00+00:00,32
2021-05-02 00:00:00+00:00,33
2021-05-05 00:00:00+00:00,34
2021-05-07 00:00:00+00:00,35
2021-05-21 00:00:00+00:00,36
2021-07-03 00:00:00+00:00,37
2021-07-11 00:00:00+00:00,38
2021-07-30 00:00:00+00:00,39
2021-08-11 00:00:00+00:00,40
2021-10-01 00:00:00+00:00,42
2021-10-16 00:00:00+00:00,43
2021-12-01 00:00:00+00:00,44
2021-12-02 00:00:00+00:00,45
2021-12-29 00:00:00+00:00,46
2022-02-03 00:00:00+00:00,47
2022-02-25 00:00:00+00:00,49
2022-03-31 00:00:00+00:00,50
2022-04-08 00:00:00+00:00,51
2022-04-12 00:00:00+00:00,52
2022-04-14 00:00:00+00:00,53
2022-05-25 00:00:00+00:00,54
2022-05-27 00:00:00+00:00,55
2022-06-01 00:00:00+00:00,57
2022-07-07 00:00:00+00:00,58
2022-07-09 00:00:00+00:00,59
2022-07-20 00:00:00+00:00,60
2022-08-05 00:00:00+00:00,61
2022-08-31 00:00:00+00:00,62
2022-09-11 00:00:00+00:00,63
2022-09-18 00:00:00+00:00,64
2022-09-21 00:00:00+00:00,65
2022-09-27 00:00:00+00:00,66
2022-10-27 00:00:00+00:00,67
