time_iso8601,forks_cumulative
2020-10-16 00:00:00+00:00,1
2020-10-20 00:00:00+00:00,2
2020-11-03 00:00:00+00:00,3
2020-11-18 00:00:00+00:00,4
2020-11-22 00:00:00+00:00,5
2020-11-27 00:00:00+00:00,6
2020-12-01 00:00:00+00:00,7
2020-12-25 00:00:00+00:00,8
2020-12-27 00:00:00+00:00,9
2021-01-26 00:00:00+00:00,10
2021-03-05 00:00:00+00:00,11
2021-04-15 00:00:00+00:00,12
2021-04-16 00:00:00+00:00,13
2021-04-19 00:00:00+00:00,14
2021-05-05 00:00:00+00:00,15
2021-06-07 00:00:00+00:00,16
2021-06-17 00:00:00+00:00,18
2021-07-09 00:00:00+00:00,19
2021-08-14 00:00:00+00:00,20
2021-08-27 00:00:00+00:00,21
2021-09-09 00:00:00+00:00,22
2021-09-16 00:00:00+00:00,23
2021-10-20 00:00:00+00:00,24
2021-10-21 00:00:00+00:00,25
2021-10-25 00:00:00+00:00,26
2021-11-01 00:00:00+00:00,27
2021-11-11 00:00:00+00:00,29
2021-12-17 00:00:00+00:00,30
2022-01-09 00:00:00+00:00,31
2022-03-10 00:00:00+00:00,32
2022-03-18 00:00:00+00:00,33
2022-03-22 00:00:00+00:00,34
2022-03-25 00:00:00+00:00,35
2022-04-07 00:00:00+00:00,36
2022-05-09 00:00:00+00:00,37
2022-05-26 00:00:00+00:00,38
2022-06-17 00:00:00+00:00,39
2022-07-08 00:00:00+00:00,40
2022-07-11 00:00:00+00:00,41
2022-07-18 00:00:00+00:00,42
2022-07-19 00:00:00+00:00,43
2022-07-26 00:00:00+00:00,44
2022-08-03 00:00:00+00:00,45
2022-08-08 00:00:00+00:00,46
2022-08-29 00:00:00+00:00,47
2022-09-13 00:00:00+00:00,48
2022-09-15 00:00:00+00:00,49
2022-09-22 00:00:00+00:00,50
2022-09-26 00:00:00+00:00,51
2022-10-16 00:00:00+00:00,52
2022-10-19 00:00:00+00:00,53
2022-10-23 00:00:00+00:00,54
2022-10-27 00:00:00+00:00,55
